,0
x,"[0.021797561871474122, -0.022690779463922377, -0.0728896689467636, 0.04560054195047587, -0.05027093058674435, -0.04409138123558662, -0.0583230092726532, -0.04204071356932004, -0.029815475933236336, 0.05153581566948573, -0.006634780854154809, 0.04147396820208258, 0.02674107860084731, -0.01999328501151004, -0.038740368304908346, 0.04973448411579341, -0.022004159353987907, -0.11447120198631357, 0.07117064336700052, 0.08346290392965942]"
iterations,2
errors,"[-0.014008871280505805, -0.009290717930651187, -0.004269399665025472, -0.014348971665818284, 0.013917242455928971, -0.011735704484947165, 0.01034263756755563, 0.004413892149275969, -0.0070220782321337855, -0.004288277184093081, 0.012618107620921169, 0.0024338357279493628, 0.010614244313256069, -0.00376224095365061, -0.002161843756493094, -0.006734826570232964, -0.009304687594690463, 0.002233949545323355, 0.0020433076334423345, -0.0006177161351600263]"
matrix_norm,0.982428738596825
